Thu Jan 28 16:00:02 CET 2021
[92mTransaction 'ba6fe843eca56460c1244663c4c7155c1389c0e85618e4f4052026c911b53e52' sent to the baker.
[92mTransaction 'b63b20ae90c0afb1d2fb9a1811381d7e74633ed29e053fe3c35571578ccfcc83' sent to the baker.
[92mTransaction '0c171616d8e7960c0d8f479f0c0b4b321f1182ed0b95ce990a1b1f2814d97809' sent to the baker.
[92mTransaction '94b608a5cbf9b7a07d950d28ebffdc135c05806e9c6e2214e4215dfc849d2f69' sent to the baker.
[92mTransaction '6e1caa6101faaff486dd61f3fe834f510202178085c23425325531f85b64a516' sent to the baker.
[92mTransaction 'b100489898d51fba74874ee8140c6da3c4d1449a2a74930d030db6920f8ca6fa' sent to the baker.
[92mTransaction 'b8097d5816bc230e39a709deb2edf3266cc0359e5d09e806f6f1ac0ba0809682' sent to the baker.
[92mTransaction 'a6e590d7cbb700f468f57d26f22ac71a540d00f67f31efbd5c3d15d297f81452' sent to the baker.
[92mTransaction 'b5f37bc855a4598516a332b7583dff9aafe1fae8fb348a43b1d6a30895b6530a' sent to the baker.
[92mTransaction 'fc04106e57c1940b0fa81060c7cb53d83e89ff3e4d6bc2161d86312d689cd9c6' sent to the baker.
[92mTransaction 'b70953af31dafd4b907147132a65ac16d836c281efd572cf6e27fb5d181070ca' sent to the baker.
[92mTransaction '0447e0b1111643ab5e608b4ef4d83cbae3cffd8f9f5b2d1d76e605f0bd60d3e1' sent to the baker.
[92mTransaction 'e7a9a9be0a18937ff73537e18827f35f27d948d70773f9c91b363b3c2cb4a6db' sent to the baker.
[92mTransaction '4c214d7a9e5c45e4872792b8349a0ef8e2f687fa6f89b56adebd2f2af9ce1b06' sent to the baker.
[92mTransaction 'cd35740503920d7694ef430caaf2b3f4a2003a11d89e81115a19af02b521ca5d' sent to the baker.
[92mTransaction '5490decce6ef889c2fd815b3e763c5a21104d544739b687f5fbf2a7d2f07b773' sent to the baker.
